cycle_type,total_heat_load,breeder_heat_load,divertor_heat_load,wall_heat_load,thermal_efficiency_cycle,thermal_efficiency_plant
rankine,1.0e6,0.5,0.1,0.9,0.34485874925643367,-0.26997501163143856
brayton,1.0e6,0.5,0.1,0.9,0.2700486923198959,-40.76786315148315
rankine,1.3413764884981478e6,0.5,0.1,0.9,0.346920286374484,-0.13200304541344043
brayton,1.3413764884981478e6,0.5,0.1,0.9,0.27009406441017214,-29.9543160834129
rankine,1.7992908838956216e6,0.5,0.1,0.9,0.34953472949334896,-0.029343009664640762
brayton,1.7992908838956216e6,0.5,0.1,0.9,0.2700509698120752,-21.75650227329333
rankine,2.4135264876266425e6,0.5,0.1,0.9,0.3528038524959375,0.04694565747903057
brayton,2.4135264876266425e6,0.5,0.1,0.9,0.2700971524781002,-15.74663991625994
rankine,3.2374476848698943e6,0.5,0.1,0.9,0.3568453095557449,0.1035780233041822
brayton,3.2374476848698943e6,0.5,0.1,0.9,0.27034540643046,-11.402399465226816
rankine,4.342636207227237e6,0.5,0.1,0.9,0.36160921029870363,0.14512426483354912
brayton,4.342636207227237e6,0.5,0.1,0.9,0.2704913928161884,-8.062177673553503
rankine,5.825110106475398e6,0.5,0.1,0.9,0.36736989067951986,0.17583447417325349
brayton,5.825110106475398e6,0.5,0.1,0.9,0.27068662092385076,-5.571982700525876
rankine,7.813665739739025e6,0.5,0.1,0.9,0.3735516780575373,0.19722632806941576
brayton,7.813665739739025e6,0.5,0.1,0.9,0.27094743093131946,-3.7154680526661803
rankine,1.0481067512269437e7,0.5,0.1,0.9,0.38071104079678963,0.21237994849351438
brayton,1.0481067512269437e7,0.5,0.1,0.9,0.27129537329389375,-2.331340972364442
rankine,1.4059057535320025e7,0.5,0.1,0.9,0.38823465970185345,0.22174804318352948
brayton,1.4059057535320025e7,0.5,0.1,0.9,0.27175870390979384,-1.2993494340653986
rankine,1.885848922832096e7,0.5,0.1,0.9,0.39580682731690375,0.22600455359448313
brayton,1.885848922832096e7,0.5,0.1,0.9,0.2722515789057881,-0.5140042591319329
rankine,2.5296334059465367e7,0.5,0.1,0.9,0.40653011715341303,0.22849318706659505
brayton,2.5296334059465367e7,0.5,0.1,0.9,0.2731890904806231,0.044057972374958676
rankine,3.393190775256175e7,0.5,0.1,0.9,0.4240644257973022,0.23114351658480503
brayton,3.393190775256175e7,0.5,0.1,0.9,0.2742634131230084,0.47218796896044646
rankine,4.551546326917436e7,0.5,0.1,0.9,0.4478647423888298,0.1938695734860688
brayton,4.551546326917436e7,0.5,0.1,0.9,0.27539309670067513,0.8073670789732301
rankine,6.105337229237153e7,0.5,0.1,0.9,0.43072693766058745,0.23178262271926076
brayton,6.105337229237153e7,0.5,0.1,0.9,0.2775037868938989,0.9694910602293159
rankine,8.189555813651161e7,0.5,0.1,0.9,0.4118395845941304,0.22876024770169445
brayton,8.189555813651161e7,0.5,0.1,0.9,0.27940177512438524,0.7754776683317937
rankine,1.0985277619674985e8,0.5,0.1,0.9,0.4296546993202297,0.23152748064511708
brayton,1.0985277619674985e8,0.5,0.1,0.9,0.29306053237945484,0.4570271654013668
rankine,1.4735393118656895e8,0.5,0.1,0.9,0.4314700022968263,0.23172727956611883
brayton,1.4735393118656895e8,0.5,0.1,0.9,0.288780483525516,0.48203712408065613
rankine,1.9765709878143796e8,0.5,0.1,0.9,0.4339800853830995,0.23203198904029532
brayton,1.9765709878143796e8,0.5,0.1,0.9,0.2911975072971017,0.4776570367441263
rankine,2.651325850901773e8,0.5,0.1,0.9,0.4177204653586427,0.23047005319670155
brayton,2.651325850901773e8,0.5,0.1,0.9,0.2967304448025536,0.4184011969413517
rankine,3.556426159746977e8,0.5,0.1,0.9,0.44819345565685187,0.23654718694147092
brayton,3.556426159746977e8,0.5,0.1,0.9,0.30195505717932103,0.35803386431185025
rankine,4.7705064337643623e8,0.5,0.1,0.9,0.39389246777397946,0.225100455629068
brayton,4.7705064337643623e8,0.5,0.1,0.9,0.31497927034456175,0.2812617255076727
rankine,6.399045168480675e8,0.5,0.1,0.9,0.46185759720000896,0.24456095184391513
brayton,6.399045168480675e8,0.5,0.1,0.9,0.3274081741534518,0.27589250657806585
rankine,8.58352873783763e8,0.5,0.1,0.9,0.46082532225354966,0.24470433364731692
brayton,8.58352873783763e8,0.5,0.1,0.9,0.3362172312756867,0.26186805353701403
rankine,1.1513743637283602e9,0.5,0.1,0.9,0.4612483591413242,0.2447323546882516
brayton,1.1513743637283602e9,0.5,0.1,0.9,0.34737642866068286,0.24431680605806727
rankine,1.5444265009647338e9,0.5,0.1,0.9,0.45889756774961976,0.24455990935555327
brayton,1.5444265009647338e9,0.5,0.1,0.9,0.3475055351992671,0.24432068144161945
rankine,2.0716573966075604e9,0.5,0.1,0.9,0.46215561002479066,0.23836847811576245
brayton,2.0716573966075604e9,0.5,0.1,0.9,0.3524874993824091,0.2431632549898951
rankine,2.7788725240326695e9,0.5,0.1,0.9,0.4651526268005367,0.21515386607366072
brayton,2.7788725240326695e9,0.5,0.1,0.9,0.361878966252578,0.22358624145991257
rankine,3.72751426827092e9,0.5,0.1,0.9,0.4651883150605036,0.15884734599171646
brayton,3.72751426827092e9,0.5,0.1,0.9,0.36694153223709125,0.18802385303697
rankine,4.999999999999999e9,0.5,0.1,0.9,0.4654890029437646,0.11697772733192635
brayton,4.999999999999999e9,0.5,0.1,0.9,0.36685983376066733,0.13724321225452119
rankine,1.0e6,0.535,0.1,0.9,0.3447334570900935,-0.26504861268165625
brayton,1.0e6,0.535,0.1,0.9,0.2700520392124096,-40.77562821730066
rankine,1.3413764884981478e6,0.535,0.1,0.9,0.34710943076488787,-0.12470649437932346
brayton,1.3413764884981478e6,0.535,0.1,0.9,0.27009855115862635,-29.96208138100777
rankine,1.7992908838956216e6,0.535,0.1,0.9,0.34977503876488736,-0.022021598382244933
brayton,1.7992908838956216e6,0.535,0.1,0.9,0.27016088171841457,-21.900536017176595
rankine,2.4135264876266425e6,0.535,0.1,0.9,0.353110016096264,0.05432080409944684
brayton,2.4135264876266425e6,0.535,0.1,0.9,0.27011499236432923,-15.763955424802457
rankine,3.2374476848698943e6,0.535,0.1,0.9,0.357214830965747,0.1109731747181566
brayton,3.2374476848698943e6,0.535,0.1,0.9,0.27035619932790145,-11.410166049563182
rankine,4.342636207227237e6,0.535,0.1,0.9,0.3619720330680405,0.1523665197071572
brayton,4.342636207227237e6,0.535,0.1,0.9,0.2705058421535007,-8.06994500744468
rankine,5.825110106475398e6,0.535,0.1,0.9,0.36788790048704145,0.1833402140310555
brayton,5.825110106475398e6,0.535,0.1,0.9,0.27070595275317766,-5.579751039313826
rankine,7.813665739739025e6,0.535,0.1,0.9,0.37432990320413484,0.2051205187387931
brayton,7.813665739739025e6,0.535,0.1,0.9,0.2709732724242929,-3.7232377384302042
rankine,1.0481067512269437e7,0.535,0.1,0.9,0.3814541414689826,0.22018057892559884
brayton,1.0481067512269437e7,0.535,0.1,0.9,0.27132987615521476,-2.339112463187464
rankine,1.4059057535320025e7,0.535,0.1,0.9,0.38893905374235116,0.22953646058674892
brayton,1.4059057535320025e7,0.535,0.1,0.9,0.2710716200989757,-1.1816645567509143
rankine,1.885848922832096e7,0.535,0.1,0.9,0.3967267093348268,0.2341128881504645
brayton,1.885848922832096e7,0.535,0.1,0.9,0.27232161792737686,-0.5229087196433975
rankine,2.5296334059465367e7,0.535,0.1,0.9,0.4081443237966059,0.23740336701196707
brayton,2.5296334059465367e7,0.535,0.1,0.9,0.27312003728511536,0.050925412864147424
rankine,3.393190775256175e7,0.535,0.1,0.9,0.4272071536001806,0.2415431511158117
brayton,3.393190775256175e7,0.535,0.1,0.9,0.27437073701257875,0.46440069467028566
rankine,4.551546326917436e7,0.535,0.1,0.9,0.4517517960168408,0.20378526906042127
brayton,4.551546326917436e7,0.535,0.1,0.9,0.2755552745694846,0.7984326405482722
rankine,6.105337229237153e7,0.535,0.1,0.9,0.4393918584517279,0.242154566327337
brayton,6.105337229237153e7,0.535,0.1,0.9,0.2776884782106236,0.9772963959759052
rankine,8.189555813651161e7,0.535,0.1,0.9,0.43320811349640287,0.24131636199156725
brayton,8.189555813651161e7,0.535,0.1,0.9,0.2796781903730028,0.7844521639677263
rankine,1.0985277619674985e8,0.535,0.1,0.9,0.4401270203826866,0.24201560445700476
brayton,1.0985277619674985e8,0.535,0.1,0.9,0.2831817337977408,0.6628625568830798
rankine,1.4735393118656895e8,0.535,0.1,0.9,0.4392024771732058,0.24218157958095965
brayton,1.4735393118656895e8,0.535,0.1,0.9,0.2954411354789901,0.440832244794359
rankine,1.9765709878143796e8,0.535,0.1,0.9,0.4404643390363012,0.24219518524156614
brayton,1.9765709878143796e8,0.535,0.1,0.9,0.2909278403116725,0.4729708456835503
rankine,2.651325850901773e8,0.535,0.1,0.9,0.4602909516307351,0.2531614260273235
brayton,2.651325850901773e8,0.535,0.1,0.9,0.2973326766790041,0.42633581637386364
rankine,3.556426159746977e8,0.535,0.1,0.9,0.44195757177166184,0.24262831658967543
brayton,3.556426159746977e8,0.535,0.1,0.9,0.3038210178369031,0.37882254849827623
rankine,4.7705064337643623e8,0.535,0.1,0.9,0.39445744190474685,0.24155930152774674
brayton,4.7705064337643623e8,0.535,0.1,0.9,0.33003804087242705,0.29445579312927306
rankine,6.399045168480675e8,0.535,0.1,0.9,0.4628081031660377,0.2565397623696867
brayton,6.399045168480675e8,0.535,0.1,0.9,0.3291524482685081,0.29428952008037057
rankine,8.58352873783763e8,0.535,0.1,0.9,0.4645967739416027,0.25683873762343
brayton,8.58352873783763e8,0.535,0.1,0.9,0.34174041403421485,0.2685102280225995
rankine,1.1513743637283602e9,0.535,0.1,0.9,0.46526340452226533,0.25693933629064325
brayton,1.1513743637283602e9,0.535,0.1,0.9,0.33220855698190177,0.2906849799396728
rankine,1.5444265009647338e9,0.535,0.1,0.9,0.46503699385549124,0.25692675606358395
brayton,1.5444265009647338e9,0.535,0.1,0.9,0.3462748215485305,0.25675041939965226
rankine,2.0716573966075604e9,0.535,0.1,0.9,0.46447741385445507,0.24847894260455805
brayton,2.0716573966075604e9,0.535,0.1,0.9,0.3537936688728328,0.25117397543761977
rankine,2.7788725240326695e9,0.535,0.1,0.9,0.46515518670955025,0.21581766929672297
brayton,2.7788725240326695e9,0.535,0.1,0.9,0.3634704816393709,0.23367471719836963
rankine,3.72751426827092e9,0.535,0.1,0.9,0.46449284032634375,0.1558565547657036
brayton,3.72751426827092e9,0.535,0.1,0.9,0.3669582507055815,0.1887752803889593
rankine,4.999999999999999e9,0.535,0.1,0.9,0.46528929748821046,0.11637514728179288
brayton,4.999999999999999e9,0.535,0.1,0.9,0.3668823325729167,0.13799463960651082
rankine,1.0e6,0.5700000000000001,0.1,0.9,0.3451526907373573,-0.2554072809691308
brayton,1.0e6,0.5700000000000001,0.1,0.9,0.2700553862741003,-40.78339398270086
rankine,1.3413764884981478e6,0.5700000000000001,0.1,0.9,0.3472512755514151,-0.11770419370604945
brayton,1.3413764884981478e6,0.5700000000000001,0.1,0.9,0.27010303821134163,-29.96984761699964
rankine,1.7992908838956216e6,0.5700000000000001,0.1,0.9,0.3500148835397582,-0.014677311485915334
brayton,1.7992908838956216e6,0.5700000000000001,0.1,0.9,0.2701668958425846,-21.908302884352537
rankine,2.4135264876266425e6,0.5700000000000001,0.1,0.9,0.353410050949046,0.06170511117999633
brayton,2.4135264876266425e6,0.5700000000000001,0.1,0.9,0.2701328272059921,-15.781270337738611
rankine,3.2374476848698943e6,0.5700000000000001,0.1,0.9,0.3575833731788348,0.11840938294490255
brayton,3.2374476848698943e6,0.5700000000000001,0.1,0.9,0.2703669939932706,-11.417934898656009
rankine,4.342636207227237e6,0.5700000000000001,0.1,0.9,0.3625340907231973,0.16016571587029627
brayton,4.342636207227237e6,0.5700000000000001,0.1,0.9,0.2705202946672003,-8.077715379156805
rankine,5.825110106475398e6,0.5700000000000001,0.1,0.9,0.36840848862416653,0.1909277066237437
brayton,5.825110106475398e6,0.5700000000000001,0.1,0.9,0.2707252902866071,-5.587523452837479
rankine,7.813665739739025e6,0.5700000000000001,0.1,0.9,0.37492973176502153,0.21281957706606625
brayton,7.813665739739025e6,0.5700000000000001,0.1,0.9,0.2709991241538102,-3.7310128897224217
rankine,1.0481067512269437e7,0.5700000000000001,0.1,0.9,0.38214971211275595,0.22804886199458652
brayton,1.0481067512269437e7,0.5700000000000001,0.1,0.9,0.2708553790948758,-2.230596792998167
rankine,1.4059057535320025e7,0.5700000000000001,0.1,0.9,0.3896074533288737,0.23745556130307177
brayton,1.4059057535320025e7,0.5700000000000001,0.1,0.9,0.27117404565414904,-1.198973173317424
rankine,1.885848922832096e7,0.5700000000000001,0.1,0.9,0.39772123105955515,0.24253717538689268
brayton,1.885848922832096e7,0.5700000000000001,0.1,0.9,0.2723916752731589,-0.5318234716268704
rankine,2.5296334059465367e7,0.5700000000000001,0.1,0.9,0.4100121342073323,0.24688759042928843
brayton,2.5296334059465367e7,0.5700000000000001,0.1,0.9,0.27321307010283535,0.04199986550747081
rankine,3.393190775256175e7,0.5700000000000001,0.1,0.9,0.4300469744633565,0.252195325138463
brayton,3.393190775256175e7,0.5700000000000001,0.1,0.9,0.2744782474948655,0.45658969849570374
rankine,4.551546326917436e7,0.5700000000000001,0.1,0.9,0.4558916358797348,0.2144700347437941
brayton,4.551546326917436e7,0.5700000000000001,0.1,0.9,0.2759544198910008,0.7761288083919529
rankine,6.105337229237153e7,0.5700000000000001,0.1,0.9,0.4513684656444167,0.2546453632378127
brayton,6.105337229237153e7,0.5700000000000001,0.1,0.9,0.2778737530542358,0.9851443901602449
rankine,8.189555813651161e7,0.5700000000000001,0.1,0.9,0.4355509786541927,0.25220132634059944
brayton,8.189555813651161e7,0.5700000000000001,0.1,0.9,0.27995494650616326,0.7934711518305622
rankine,1.0985277619674985e8,0.5700000000000001,0.1,0.9,0.43685124275391574,0.25215284392540316
brayton,1.0985277619674985e8,0.5700000000000001,0.1,0.9,0.28599901720053833,0.6008452728700571
rankine,1.4735393118656895e8,0.5700000000000001,0.1,0.9,0.44849128394533655,0.25395244761742597
brayton,1.4735393118656895e8,0.5700000000000001,0.1,0.9,0.30032911164367515,0.4167483992079425
